word,colour,corr_resp,valence,key_resp.keys,key_resp.corr,key_resp.rt
anxiety,red,r,negative,r,1,0.8833446
guilt,blue,b,negative,b,1,1.9922842
keyboard,blue,b,neutral,b,1,1.5337574
peace,blue,b,positive,b,1,1.280213
book,green,g,neutral,g,1,0.8502717
adore,red,r,positive,r,1,0.7599726
excitement,red,r,positive,r,1,0.7208013
stress,green,g,negative,g,1,1.2617612
hope,blue,b,positive,b,1,0.902316
fear,red,r,negative,r,1,1.8063327
pencil,green,g,neutral,g,1,2.6372366
grief,green,g,negative,g,1,1.6172231
hatred,blue,b,negative,b,1,0.9368119
door,green,g,neutral,g,1,1.9807894
window,red,r,neutral,r,1,1.3304618
happiness,blue,b,positive,b,1,0.804494
pleasure,blue,b,positive,b,1,1.0635092
lamp,green,g,neutral,g,1,1.4685273
disgust,red,r,negative,r,1,0.8962187
hatred,red,r,negative,r,1,1.906572
fear,green,g,negative,g,1,1.5699497
amusement,blue,b,positive,b,1,0.8346799
anger,green,g,negative,g,1,1.518336
pain,blue,b,negative,b,1,1.2303142
laughter,green,g,positive,g,1,0.9014365
keyboard,green,g,neutral,g,1,0.7292895
door,red,r,neutral,r,1,1.4256743
laughter,red,r,positive,r,1,0.642528
grief,blue,b,negative,b,1,1.3886493
adore,green,g,positive,g,1,1.6675315
disgust,green,g,negative,g,1,1.1972981
pen,green,g,neutral,g,1,1.0978683
excitement,green,g,positive,g,1,0.6275052
monitor,blue,b,neutral,b,1,0.7584254
euphoria,blue,b,positive,b,1,1.3059892
pain,green,g,negative,g,1,2.6246041
guilt,red,r,negative,r,1,0.9296141
pencil,red,r,neutral,r,1,0.7803322
amusement,red,r,positive,r,1,0.9971485
euphoria,red,r,positive,r,1,3.4601656
betrayal,blue,b,negative,b,1,1.5028085
delight,blue,b,positive,b,1,2.5369814
trauma,red,r,negative,r,1,1.2930447
keyboard,red,r,neutral,r,1,0.8241529
hope,green,g,positive,g,1,1.3166114
pain,red,r,negative,r,1,0.8251089
computer,red,r,neutral,r,1,0.9304352
carpet,blue,b,neutral,b,1,1.2405785
hope,red,r,positive,r,1,1.006583
trauma,blue,b,negative,b,1,0.901841
enthusiasm ,blue,b,positive,b,1,0.4936417
delight,green,g,positive,g,1,1.9596324
pen,blue,b,neutral,b,1,2.8223265
enthusiasm ,green,g,positive,g,1,3.1787858
clock,red,r,neutral,r,1,0.8666002
clock,blue,b,neutral,b,1,1.569226
sadness,blue,b,negative,b,1,1.1364342
depression,green,g,negative,g,1,1.0630979
pen,red,r,neutral,r,1,1.007414
joy,red,r,positive,r,1,0.5935505
lamp,blue,b,neutral,b,1,1.3091535
pleasure,green,g,positive,g,1,1.0352593
computer,green,g,neutral,g,1,0.7268571
door,blue,b,neutral,b,1,0.8036866
euphoria,green,g,positive,g,1,0.929444
carpet,red,r,neutral,r,1,1.1419191
anger,red,r,negative,r,1,0.6193219
bliss,green,g,positive,g,1,1.6771965
lonliness,green,g,negative,g,1,0.5802483
lonliness,blue,b,negative,b,1,0.9913243
regret,green,g,negative,g,1,1.3347943
love,green,g,positive,g,1,0.8994452
love,blue,b,positive,b,1,0.7643081
anxiety,blue,b,negative,b,1,0.8757706
pencil,blue,b,neutral,b,1,0.5299867
paper,blue,b,neutral,b,1,0.7478399
chair,blue,b,neutral,b,1,0.8121944
table,blue,b,neutral,b,1,0.6333117
gratitude,blue,b,positive,b,1,0.6778301
suffering,green,g,negative,r,0,0.698758
paper,red,r,neutral,r,1,0.738154
love,red,r,positive,r,1,1.6696637
clock,green,g,neutral,b,0,1.2711747
bliss,blue,b,positive,b,1,0.6684728
happiness,green,g,positive,g,1,3.4771502
paper,green,g,neutral,g,1,3.0260542
disgust,blue,b,negative,b,1,0.8991984
window,blue,b,neutral,b,1,0.8257376
book,red,r,neutral,r,1,0.64061
monitor,red,r,neutral,r,1,0.8866137
lonliness,red,r,negative,r,1,0.5391843
delight,red,r,positive,r,1,0.5998405
bliss,red,r,positive,r,1,0.4240668
window,green,g,neutral,g,1,1.0279852
stress,red,r,negative,r,1,1.1082421
depression,blue,b,negative,b,1,0.8680711
peace,red,r,positive,r,1,2.3191648
chair,red,r,neutral,r,1,0.5763093
regret,blue,b,negative,b,1,1.7185622
monitor,green,g,neutral,g,1,0.7460791
happiness,red,r,positive,r,1,1.0849296
trauma,green,g,negative,g,1,1.6566197
enthusiasm ,red,r,positive,r,1,0.7122227
gratitude,red,r,positive,r,1,0.8746136
excitement,blue,b,positive,b,1,2.0135246
betrayal,red,r,negative,r,1,1.5777528
amusement,green,g,positive,g,1,1.204196
joy,blue,b,positive,b,1,1.5513741
anxiety,green,g,negative,g,1,1.258426
book,blue,b,neutral,b,1,0.7317464
joy,green,g,positive,g,1,1.2026726
suffering,red,r,negative,r,1,0.9404722
pleasure,red,r,positive,r,1,0.4168788
suffering,blue,b,negative,b,1,0.6138083
grief,red,r,negative,r,1,1.7519601
table,green,g,neutral,b,0,1.4515405
anger,blue,b,negative,b,1,0.8255264
gratitude,green,g,positive,g,1,0.9043395
sadness,red,r,negative,r,1,1.3938803
table,red,r,neutral,r,1,0.9363096
hatred,green,g,negative,g,1,2.0837543
lamp,red,r,neutral,r,1,2.3653867
chair,green,g,neutral,g,1,0.9967861
carpet,green,g,neutral,g,1,0.7000671
depression,red,r,negative,r,1,0.8023246
laughter,blue,b,positive,b,1,0.7888301
stress,blue,b,negative,b,1,0.4234428
betrayal,green,g,negative,g,1,0.6760085
sadness,green,g,negative,g,1,0.6179812
regret,red,r,negative,r,1,0.8357069
fear,blue,b,negative,b,1,1.6944388
guilt,green,g,negative,g,1,1.3334428
adore,blue,b,positive,b,1,0.7352694
computer,blue,b,neutral,b,1,0.4056131
peace,green,g,positive,g,1,0.5413903
